common_name,breeding_code,winter_code
Greater White-fronted Goose,t,w
Snow Goose,t,w
Ross's Goose,t,w
Cackling Goose,t,W
Canada Goose,B,W
Brant,t,
Mute Swan,B,W
Trumpeter Swan,B,W
Tundra Swan,t,W
Wood Duck,B,W
Gadwall,B,W
Eurasian Wigeon,t,w
American Wigeon,B,W
American Black Duck,t,w
Mallard,B,W
Blue-winged Teal,B,w
Cinnamon Teal,B,W
Northern Shoveler,B,W
Northern Pintail,B,W
Green-winged Teal,B,W
Canvasback,B,W
Redhead,B,W
Ring-necked Duck,B,W
Greater Scaup,t,W
Lesser Scaup,B,W
Harlequin Duck,B,W
Surf Scoter,t,w
White-winged Scoter,t,w
Black Scoter,t,w
Long-tailed Duck,t,W
Bufflehead,B,W
Common Goldeneye,B,W
Barrow's Goldeneye,B,W
Hooded Merganser,B,W
Common Merganser,B,W
Red-breasted Merganser,t,W
Ruddy Duck,B,W
Chukar,B,W
Gray Partridge,B,W
Ring-necked Pheasant,B,W
Ruffed Grouse,B,W
Greater Sage-Grouse,B,W
Spruce Grouse,B,W
Willow Ptarmigan,,w
White-tailed Ptarmigan,B,W
Dusky Grouse,B,W
Sharp-tailed Grouse,B,W
Greater Prairie-Chicken,b,
Wild Turkey,B,W
Red-throated Loon,t,
Pacific Loon,t,w
Common Loon,B,W
Pied-billed Grebe,B,W
Horned Grebe,B,W
Red-necked Grebe,B,W
Eared Grebe,B,W
Western Grebe,B,W
Clark's Grebe,B,
Wood Stork,t,
Double-crested Cormorant,B,w
American White Pelican,B,w
American Bittern,B,w
Least Bittern,t,
Great Blue Heron,B,W
Great Egret,t,
Snowy Egret,B,
Little Blue Heron,t,
Cattle Egret,t,
Green Heron,t,
Black-crowned Night-Heron,B,
Yellow-crowned Night-Heron,t,
Glossy Ibis,t,
White-faced Ibis,B,
Turkey Vulture,B,w
Osprey,B,w
White-tailed Kite,t,
Mississippi Kite,t,
Bald Eagle,B,W
Northern Harrier,B,W
Sharp-shinned Hawk,B,W
Cooper's Hawk,B,W
Northern Goshawk,B,W
Red-shouldered Hawk,t,
Broad-winged Hawk,t,
Swainson's Hawk,B,w
Red-tailed Hawk,B,W
Ferruginous Hawk,B,W
Rough-legged Hawk,t,W
Golden Eagle,B,W
Crested Caracara,t,
American Kestrel,B,W
Merlin,B,W
Gyrfalcon,t,W
Peregrine Falcon,B,W
Prairie Falcon,B,W
Yellow Rail,b,
Virginia Rail,B,W
Sora,B,w
Common Gallinule,t,
American Coot,B,W
Sandhill Crane,B,W
Whooping Crane,t,
Black-bellied Plover,t,
American Golden-Plover,t,
Snowy Plover,b,
Semipalmated Plover,t,
Piping Plover,B,
Killdeer,B,W
Mountain Plover,B,
Black-necked Stilt,B,
American Avocet,B,
Spotted Sandpiper,B,w
Solitary Sandpiper,b,
Greater Yellowlegs,t,w
Willet,B,
Lesser Yellowlegs,t,
Upland Sandpiper,B,
Whimbrel,t,
Long-billed Curlew,B,
Hudsonian Godwit,t,
Marbled Godwit,B,
Ruddy Turnstone,t,
Black Turnstone,t,
Red Knot,t,
Sanderling,t,
Semipalmated Sandpiper,t,
Western Sandpiper,t,
Least Sandpiper,t,
White-rumped Sandpiper,t,
Baird's Sandpiper,t,
Pectoral Sandpiper,t,
Dunlin,t,W
Stilt Sandpiper,t,
Buff-breasted Sandpiper,t,
Short-billed Dowitcher,t,
Long-billed Dowitcher,t,
Wilson's Snipe,B,W
American Woodcock,t,w
Wilson's Phalarope,B,
Black-legged Kittiwake,t,w
Sabine's Gull,t,
Bonaparte's Gull,t,
Little Gull,t,
Ross's Gull,t,
Laughing Gull,t,
Franklin's Gull,B,
Mew Gull,t,W
Ring-billed Gull,B,W
California Gull,B,W
Herring Gull,B,W
Thayer's Gull,t,W
Iceland Gull,t,W
Lesser Black-backed Gull,t,
Glaucous-winged Gull,t,W
Glaucous Gull,t,W
Great Black-backed Gull,t,w
Least Tern,B,
Caspian Tern,B,
Black Tern,B,
Common Tern,B,
Arctic Tern,B,
Forster's Tern,B,
Ancient Murrelet,t,w
Rock Pigeon,B,W
Band-tailed Pigeon,t,
Eurasian Collared-Dove,B,W
White-winged Dove,t,
Mourning Dove,B,W
Inca Dove,t,
Yellow-billed Cuckoo,b,
Black-billed Cuckoo,B,
Barn Owl,B,w
Flammulated Owl,B,w
Western Screech-Owl,B,w
Eastern Screech-Owl,B,W
Great Horned Owl,B,W
Snowy Owl,t,W
Northern Hawk Owl,B,W
Northern Pygmy-Owl,B,W
Burrowing Owl,B,w
Barred Owl,B,W
Great Gray Owl,B,W
Long-eared Owl,B,W
Short-eared Owl,B,W
Boreal Owl,B,W
Northern Saw-whet Owl,B,W
Common Nighthawk,B,
Common Poorwill,B,
Chimney Swift,B,
Vaux's Swift,B,
White-throated Swift,B,
Ruby-throated Hummingbird,B,
Black-chinned Hummingbird,B,
Anna's Hummingbird,t,W
Costa's Hummingbird,t,
Calliope Hummingbird,B,
Broad-tailed Hummingbird,B,
Rufous Hummingbird,B,
Belted Kingfisher,B,W
Lewis's Woodpecker,B,W
Red-headed Woodpecker,B,w
Red-bellied Woodpecker,t,
Williamson's Sapsucker,B,
Yellow-bellied Sapsucker,t,
Red-naped Sapsucker,B,w
Downy Woodpecker,B,W
Hairy Woodpecker,B,W
White-headed Woodpecker,t,w
American Three-toed Woodpecker,B,W
Black-backed Woodpecker,B,W
Northern Flicker,B,W
Pileated Woodpecker,B,W
Olive-sided Flycatcher,B,
Western Wood-Pewee,B,
Eastern Wood-Pewee,t,
Yellow-bellied Flycatcher,t,
Alder Flycatcher,b,
Willow Flycatcher,B,
Least Flycatcher,B,
Hammond's Flycatcher,B,
Gray Flycatcher,B,
Dusky Flycatcher,B,
Cordilleran Flycatcher,B,
Eastern Phoebe,t,w
Say's Phoebe,B,w
Vermilion Flycatcher,,w
Ash-throated Flycatcher,t,
Great Crested Flycatcher,t,
Cassin's Kingbird,B,
Western Kingbird,B,w
Eastern Kingbird,B,
Scissor-tailed Flycatcher,t,
Loggerhead Shrike,B,W
Northern Shrike,t,W
White-eyed Vireo,b,
Yellow-throated Vireo,b,
Plumbeous Vireo,B,
Cassin's Vireo,B,
Blue-headed Vireo,t,
Warbling Vireo,B,
Philadelphia Vireo,t,
Red-eyed Vireo,B,
Gray Jay,B,W
Pinyon Jay,B,W
Steller's Jay,B,W
Blue Jay,B,W
Western Scrub-Jay,t,W
Clark's Nutcracker,B,W
Black-billed Magpie,B,W
American Crow,B,W
Common Raven,B,W
Horned Lark,B,W
Purple Martin,B,
Tree Swallow,B,
Violet-green Swallow,B,
Northern Rough-winged Swallow,B,
Bank Swallow,B,
Cliff Swallow,B,
Barn Swallow,B,
Black-capped Chickadee,B,W
Mountain Chickadee,B,W
Chestnut-backed Chickadee,B,W
Boreal Chickadee,B,W
Red-breasted Nuthatch,B,W
White-breasted Nuthatch,B,W
Pygmy Nuthatch,B,W
Brown Creeper,B,W
Rock Wren,B,w
Canyon Wren,B,W
Carolina Wren,t,
Bewick's Wren,t,W
House Wren,B,w
Pacific Wren,B,W
Winter Wren,t,
Sedge Wren,B,
Marsh Wren,B,W
Blue-gray Gnatcatcher,B,
American Dipper,B,W
Golden-crowned Kinglet,B,W
Ruby-crowned Kinglet,B,W
Eastern Bluebird,B,W
Western Bluebird,B,w
Mountain Bluebird,B,w
Townsend's Solitaire,B,W
Veery,B,
Gray-cheeked Thrush,t,
Swainson's Thrush,B,
Hermit Thrush,B,w
Wood Thrush,t,
American Robin,B,W
Varied Thrush,B,W
Gray Catbird,B,w
Northern Mockingbird,B,W
Sage Thrasher,B,
Brown Thrasher,B,W
Curve-billed Thrasher,t,W
European Starling,B,W
American Pipit,B,W
Sprague's Pipit,B,
Bohemian Waxwing,b,W
Cedar Waxwing,B,W
Lapland Longspur,t,W
Chestnut-collared Longspur,B,
Smith's Longspur,t,
McCown's Longspur,B,
Snow Bunting,t,W
Ovenbird,B,
Northern Waterthrush,B,
Golden-winged Warbler,t,
Blue-winged Warbler,t,
Black-and-White Warbler,B,
Prothonotary Warbler,t,
Tennessee Warbler,B,
Orange-crowned Warbler,B,
Nashville Warbler,B,
Connecticut Warbler,t,
MacGillivray's Warbler,B,
Mourning Warbler,t,
Kentucky Warbler,t,
Common Yellowthroat,B,w
Hooded Warbler,t,
American Redstart,B,
Cape May Warbler,t,
Northern Parula,t,
Magnolia Warbler,t,
Bay-breasted Warbler,t,
Blackburnian Warbler,t,
Yellow Warbler,B,
Chestnut-sided Warbler,t,
Blackpoll Warbler,t,
Black-throated Blue Warbler,t,w
Palm Warbler,t,w
Pine Warbler,t,
Yellow-rumped Warbler,B,w
Yellow-throated Warbler,t,W
Prairie Warbler,t,
Black-throated Gray Warbler,B,w
Townsend's Warbler,B,
Black-throated Green Warbler,t,
Canada Warbler,t,
Wilson's Warbler,B,
Painted Redstart,t,
Yellow-breasted Chat,B,
Green-tailed Towhee,B,W
Spotted Towhee,B,W
Eastern Towhee,t,
American Tree Sparrow,t,W
Chipping Sparrow,B,W
Clay-colored Sparrow,B,
Brewer's Sparrow,B,
Field Sparrow,B,
Vesper Sparrow,B,w
Lark Sparrow,B,
Black-throated Sparrow,t,
Sage Sparrow,B,
Lark Bunting,B,
Savannah Sparrow,B,w
Grasshopper Sparrow,B,
Baird's Sparrow,B,
Le Conte's Sparrow,B,w
Nelson's Sparrow,B,
Fox Sparrow,B,w
Song Sparrow,B,W
Lincoln's Sparrow,B,w
Swamp Sparrow,t,W
White-throated Sparrow,t,W
Harris's Sparrow,t,W
White-crowned Sparrow,B,W
Golden-crowned Sparrow,b,w
Dark-eyed Junco,B,W
Summer Tanager,t,
Scarlet Tanager,t,
Western Tanager,B,
Northern Cardinal,t,W
Pyrrhuloxia,t,
Rose-breasted Grosbeak,B,w
Black-headed Grosbeak,B,W
Blue Grosbeak,B,
Lazuli Bunting,B,
Indigo Bunting,b,
Painted Bunting,t,w
Dickcissel,B,
Bobolink,B,
Red-winged Blackbird,B,W
Eastern Meadowlark,t,
Western Meadowlark,B,W
Yellow-headed Blackbird,B,W
Rusty Blackbird,t,W
Brewer's Blackbird,B,W
Common Grackle,B,W
Great-tailed Grackle,b,
Brown-headed Cowbird,B,w
Orchard Oriole,B,
Hooded Oriole,t,
Bullock's Oriole,B,w
Baltimore Oriole,B,
Gray-crowned Rosy-Finch,B,W
Black Rosy-Finch,B,W
Pine Grosbeak,B,W
Purple Finch,t,W
Cassin's Finch,B,W
House Finch,B,W
Red Crossbill,B,W
White-winged Crossbill,b,W
Common Redpoll,t,W
Hoary Redpoll,t,W
Pine Siskin,B,W
Lesser Goldfinch,B,w
American Goldfinch,B,W
Evening Grosbeak,B,W
House Sparrow,B,W
